DATE,LIQUIDITY
2020-12-06T00:00:00Z,35592583172.8636
2020-12-07T00:00:00Z,35820854576.12639
2020-12-08T00:00:00Z,34868318511.26577
2020-12-09T00:00:00Z,33625806154.988747
2020-12-10T00:00:00Z,33268324693.91169
2020-12-11T00:00:00Z,32119833675.51722
2020-12-12T00:00:00Z,33364387748.587975
2020-12-13T00:00:00Z,34441713204.50657
2020-12-14T00:00:00Z,34978790108.353
2020-12-15T00:00:00Z,35319934230.907196
2020-12-16T00:00:00Z,35798025936.60053
2020-12-17T00:00:00Z,38271520929.3715
2020-12-18T00:00:00Z,37845466259.3088
2020-12-19T00:00:00Z,38562690715.8651
2020-12-20T00:00:00Z,37956769866.42288
2020-12-21T00:00:00Z,36706013042.158875
2020-12-22T00:00:00Z,36453781937.07643
2020-12-23T00:00:00Z,36710664479.91524
2020-12-24T00:00:00Z,35171115402.983826
2020-12-25T00:00:00Z,36677889132.549164
2020-12-26T00:00:00Z,36896015999.03807
2020-12-27T00:00:00Z,38029395814.60082
2020-12-28T00:00:00Z,39791750296.07015
2020-12-29T00:00:00Z,39010958072.93523
2020-12-30T00:00:00Z,40544496933.84229
2020-12-31T00:00:00Z,42615096542.04902
2021-01-01T00:00:00Z,43492827119.67847
2021-01-02T00:00:00Z,45011762631.5687
2021-01-03T00:00:00Z,48741184864.206276
2021-01-04T00:00:00Z,53158137280.53776
2021-01-05T00:00:00Z,54901065388.72238
2021-01-06T00:00:00Z,58539384181.37069
2021-01-07T00:00:00Z,62823663547.22734
2021-01-08T00:00:00Z,60836470798.19766
2021-01-09T00:00:00Z,62430896033.17982
2021-01-10T00:00:00Z,64605281898.050995
2021-01-11T00:00:00Z,55691673042.83184
2021-01-12T00:00:00Z,56635017721.688255
2021-01-13T00:00:00Z,58052345824.07497
2021-01-14T00:00:00Z,63864095404.81687
2021-01-15T00:00:00Z,63741587729.88977
2021-01-16T00:00:00Z,68446799633.72896
2021-01-17T00:00:00Z,68620576738.757935
2021-01-18T00:00:00Z,69594518764.41357
2021-01-19T00:00:00Z,72349227751.24644
2021-01-20T00:00:00Z,68693743662.90123
2021-01-21T00:00:00Z,65919633867.57795
2021-01-22T00:00:00Z,64937219578.25534
2021-01-23T00:00:00Z,69297563487.98781
2021-01-24T00:00:00Z,73938840964.02725
2021-01-25T00:00:00Z,75402192705.82812
2021-01-26T00:00:00Z,71569545035.85504
2021-01-27T00:00:00Z,69624559590.94997
2021-01-28T00:00:00Z,73106527352.41893
2021-01-29T00:00:00Z,75729079030.49579
2021-01-30T00:00:00Z,77189932693.89552
2021-01-31T00:00:00Z,77353860328.91408
2021-02-01T00:00:00Z,75867133140.737
2021-02-02T00:00:00Z,78316167526.26114
2021-02-03T00:00:00Z,83100514319.47812
2021-02-04T00:00:00Z,95007393794.37273
2021-02-05T00:00:00Z,102544077707.29475
2021-02-06T00:00:00Z,100487084735.87561
2021-02-07T00:00:00Z,96127744919.92337
2021-02-08T00:00:00Z,102595482774.92383
2021-02-09T00:00:00Z,106283664189.56175
2021-02-10T00:00:00Z,108919046822.72397
2021-02-11T00:00:00Z,108201541697.2849
2021-02-12T00:00:00Z,106842479374.78668
2021-02-13T00:00:00Z,108900712024.21367
2021-02-14T00:00:00Z,109652860417.87935
2021-02-15T00:00:00Z,108412368417.86926
2021-02-16T00:00:00Z,108564647969.57848
2021-02-17T00:00:00Z,107263089262.88983
2021-02-18T00:00:00Z,112486991068.06631
2021-02-19T00:00:00Z,113207387937.17368
2021-02-20T00:00:00Z,118328532252.44235
2021-02-21T00:00:00Z,117865835573.47029
2021-02-22T00:00:00Z,111663595747.50433
2021-02-23T00:00:00Z,100101091839.96208
2021-02-24T00:00:00Z,104162487511.86554
2021-02-25T00:00:00Z,100963930678.77625
2021-02-26T00:00:00Z,93435422618.93947
2021-02-27T00:00:00Z,95684101449.72073
2021-02-28T00:00:00Z,91495159237.3075
2021-03-01T00:00:00Z,99887961667.28972
2021-03-02T00:00:00Z,104495109938.40314
2021-03-03T00:00:00Z,109417007775.07043
2021-03-04T00:00:00Z,109459810794.58755
2021-03-05T00:00:00Z,102196276640.74103
2021-03-06T00:00:00Z,104979372191.68822
2021-03-07T00:00:00Z,109088866492.1763
2021-03-08T00:00:00Z,112831086584.08112
2021-03-09T00:00:00Z,113545828832.03348
2021-03-10T00:00:00Z,112873825111.88722
2021-03-11T00:00:00Z,112427257083.47102
2021-03-12T00:00:00Z,114852873131.39793
2021-03-13T00:00:00Z,118400080233.26671
2021-03-14T00:00:00Z,121056789172.0311
2021-03-15T00:00:00Z,117645779988.07135
2021-03-16T00:00:00Z,116407610953.12198
2021-03-17T00:00:00Z,118667771604.39769
2021-03-18T00:00:00Z,120065073458.98029
2021-03-19T00:00:00Z,120326196544.25668
2021-03-20T00:00:00Z,123471364437.91455
2021-03-21T00:00:00Z,121470984151.3056
2021-03-22T00:00:00Z,118994158171.05356
2021-03-23T00:00:00Z,114975837912.71112
2021-03-24T00:00:00Z,116111992926.85005
2021-03-25T00:00:00Z,112647923878.79565
2021-03-26T00:00:00Z,117146604989.5058
2021-03-27T00:00:00Z,119316458581.00165
2021-03-28T00:00:00Z,122805327699.25235
2021-03-29T00:00:00Z,126099324299.59473
2021-03-30T00:00:00Z,130821727860.5454
2021-03-31T00:00:00Z,131950531055.236
2021-04-01T00:00:00Z,135918576202.99509
2021-04-02T00:00:00Z,139271516360.22623
2021-04-03T00:00:00Z,141905871903.8007
2021-04-04T00:00:00Z,138057439296.99677
2021-04-05T00:00:00Z,137127376533.72864
2021-04-06T00:00:00Z,138211122797.72705
2021-04-07T00:00:00Z,132956093871.69563
2021-04-08T00:00:00Z,132202392179.07106
2021-04-09T00:00:00Z,133033528253.00832
2021-04-10T00:00:00Z,133192745173.85468
2021-04-11T00:00:00Z,131847922073.62494
2021-04-12T00:00:00Z,132543059759.75323
2021-04-13T00:00:00Z,136414049789.58775
2021-04-14T00:00:00Z,141671265266.53787
2021-04-15T00:00:00Z,149642969235.04718
2021-04-16T00:00:00Z,147672153448.62823
2021-04-17T00:00:00Z,150349055689.12836
2021-04-18T00:00:00Z,136492608528.87752
2021-04-19T00:00:00Z,138244276606.3439
2021-04-20T00:00:00Z,134890002648.58257
2021-04-21T00:00:00Z,142312356394.28198
2021-04-22T00:00:00Z,146827788444.4455
2021-04-23T00:00:00Z,132280121563.43639
2021-04-24T00:00:00Z,128489804478.77214
2021-04-25T00:00:00Z,130087509061.24829
2021-04-26T00:00:00Z,151540274897.81937
2021-04-27T00:00:00Z,205355880665.17896
2021-04-28T00:00:00Z,227044731605.12262
2021-04-29T00:00:00Z,244779568597.3601
2021-04-30T00:00:00Z,263828420113.8988
2021-05-01T00:00:00Z,280371134564.31067
2021-05-02T00:00:00Z,284709558628.2423
2021-05-03T00:00:00Z,312246292002.9054
2021-05-04T00:00:00Z,316933716757.05804
2021-05-05T00:00:00Z,324903060648.50464
2021-05-06T00:00:00Z,330950350418.7747
2021-05-07T00:00:00Z,335915848619.30585
2021-05-08T00:00:00Z,336763302917.15576
2021-05-09T00:00:00Z,335883048876.47205
2021-05-10T00:00:00Z,341377166921.5067
2021-05-11T00:00:00Z,336795773851.02966
2021-05-12T00:00:00Z,351314542861.3648
2021-05-13T00:00:00Z,333913755087.8362
2021-05-14T00:00:00Z,350497906674.59814
2021-05-15T00:00:00Z,350114361646.452
2021-05-16T00:00:00Z,343532764668.8773
2021-05-17T00:00:00Z,336180754840.177
2021-05-18T00:00:00Z,344270072145.4573
2021-05-19T00:00:00Z,306150103320.5137
2021-05-20T00:00:00Z,284890685856.4798
2021-05-21T00:00:00Z,282644764488.32935
2021-05-22T00:00:00Z,265169214842.4664
2021-05-23T00:00:00Z,249812231865.207
2021-05-24T00:00:00Z,240479699822.3543
2021-05-25T00:00:00Z,251530315600.05658
2021-05-26T00:00:00Z,265653385119.5444
2021-05-27T00:00:00Z,275374350032.1271
2021-05-28T00:00:00Z,275499414500.7241
2021-05-29T00:00:00Z,278887997108.7437
2021-05-30T00:00:00Z,294809954591.9901
2021-05-31T00:00:00Z,309936272976.8946
2021-06-01T00:00:00Z,317776413330.3994
2021-06-02T00:00:00Z,328879627481.65393
2021-06-03T00:00:00Z,334263692412.1845
2021-06-04T00:00:00Z,322405443665.75354
2021-06-05T00:00:00Z,323149876183.9116
2021-06-06T00:00:00Z,323347986015.63165
2021-06-07T00:00:00Z,325776010363.8501
2021-06-08T00:00:00Z,312787770573.2258
2021-06-09T00:00:00Z,317597540665.2344
2021-06-10T00:00:00Z,322422708081.26935
2021-06-11T00:00:00Z,313920622475.6307
2021-06-12T00:00:00Z,307944148032.7491
2021-06-13T00:00:00Z,312885343636.6061
2021-06-14T00:00:00Z,322932207407.61206
2021-06-15T00:00:00Z,327906352523.38696
2021-06-16T00:00:00Z,322030605234.798
2021-06-17T00:00:00Z,319393779835.48285
2021-06-18T00:00:00Z,316587998030.6129
2021-06-19T00:00:00Z,314024496960.0627
2021-06-20T00:00:00Z,312371467415.4028
2021-06-21T00:00:00Z,304787970134.267
2021-06-22T00:00:00Z,294851578382.5056
2021-06-23T00:00:00Z,301809236161.14655
2021-06-24T00:00:00Z,298242679018.0415
2021-06-25T00:00:00Z,295438798014.6625
2021-06-26T00:00:00Z,288237531944.1715
2021-06-27T00:00:00Z,291410281248.60834
2021-06-28T00:00:00Z,301092078828.4343
2021-06-29T00:00:00Z,310205556963.0874
2021-06-30T00:00:00Z,294535676555.1388
2021-07-01T00:00:00Z,302475532697.6161
2021-07-02T00:00:00Z,297866111010.14404
2021-07-03T00:00:00Z,303930106944.9697
2021-07-04T00:00:00Z,309499622663.0752
2021-07-05T00:00:00Z,302184366249.48944
2021-07-06T00:00:00Z,304621283808.2989
2021-07-07T00:00:00Z,310542604657.41693
2021-07-08T00:00:00Z,300723068432.2236
2021-07-09T00:00:00Z,297732750786.3718
2021-07-10T00:00:00Z,301368678464.4626
2021-07-11T00:00:00Z,304415676210.7749
2021-07-12T00:00:00Z,305023618899.1092
2021-07-13T00:00:00Z,299345227984.43567
2021-07-14T00:00:00Z,292551195032.58057
2021-07-15T00:00:00Z,298645102027.5493
2021-07-16T00:00:00Z,277313346816.1356
2021-07-17T00:00:00Z,351263995864.3352
2021-07-18T00:00:00Z,354099369648.1021
2021-07-19T00:00:00Z,346915314949.2029
2021-07-20T00:00:00Z,338517136397.32263
2021-07-21T00:00:00Z,347111222730.5772
2021-07-22T00:00:00Z,354986621944.9223
2021-07-23T00:00:00Z,358640719177.5547
2021-07-24T00:00:00Z,364442529695.79065
2021-07-25T00:00:00Z,363232112759.7728
2021-07-26T00:00:00Z,378333459568.5214
2021-07-27T00:00:00Z,375308816970.65955
2021-07-28T00:00:00Z,381435397993.6979
2021-07-29T00:00:00Z,381023822699.435
2021-07-30T00:00:00Z,385743235369.90485
2021-07-31T00:00:00Z,395930753480.39435
2021-08-01T00:00:00Z,404370562305.1871
2021-08-02T00:00:00Z,402463740289.6777
2021-08-03T00:00:00Z,279831396578.79535
2021-08-04T00:00:00Z,288952008307.4646
2021-08-05T00:00:00Z,328267816278.95245
2021-08-06T00:00:00Z,262831233731.8406
2021-08-07T00:00:00Z,437385343067.5789
2021-08-08T00:00:00Z,439999222183.5219
2021-08-09T00:00:00Z,442958602923.47754
